Name_of_Text,Religion,Text,Country_of_Origin,Region_of_Country,Language,Type_of_Religion,Practition_Status,Date_of_Text_Origin,Open_Closed_Status,Rainfall,Wind,Arability,Biome,Climate,Latitude,Longitude,Min_Temp,Max_Temp,Elevation,Earthquake,Volcanics,Coastal_Flooding,Water_Scarcity,Extreme_Heat,River_Flooding,Tsunami,Landslide,Cyclone,Wildfire
Bhagavad Gita,Hinduism,,India,Haryana,Sanskrit,Polytheistic,Thriving,-400,Open,14.72,6.45,Yes,"Desert, Tropical Rain Forest, Tropical Dry Forest","BSh, Csa, BWh",29.0588,76.0856,56,92,700,Medium,NA,NA,High,High,High,NA,Medium,Very Low,High
Book of Mormon,Mormonism,,United States of America,New York City,English,Henotheistic,Stable,1823,Open,40,8.36,Yes,Temperate Deciduous Forest,"Dfb, Dfa",40.7128,-74.006,32,82,1000,Medium,NA,High,Low,Medium,High,Low,Medium,High,Medium
Digha Nikaya,Buddhism,,India,Bihar,Pali,Non-theistic,Thriving,-300,Open,40,6.49,Yes,"Tropical Rain Forest, Tropical Dry Forest","Csa, Cwa",25.9644,85.2722,60,90,173,Medium,NA,NA,High,High,High,NA,Low,High,High
Torah Genesis,Judaism,,Israel,Israel,Ancient Hebrew,Monotheistic,Stable,-539,Closed,20,8.27,Mixed,"Chaparral, Desert, Temperate Grassland","Csa, BSh, BWh, BSk",31.0461,34.8516,56,81,508,Medium,Medium,Medium,High,High,High,Medium,Medium,NA,High
Kojiki,Shinto,,Japan,Nara,Old Japanese,Animistic,Stable,712,Open,53,7.18,Yes,"Temperate Deciduous Forest, Temperate Coniferous Forest","Cfa, Dfa, Dfb, Cfb",34.6851,135.8048,40,82,1286,Medium,NA,NA,Low,Medium,Medium,NA,High,High,Medium
Popol Vuh,Costumbre,,Guatemala,Guatemala,K'iche',Animistic,Endangered,1554,NA,70,6.21,Yes,"Tropical Rain Forest, Tropical Dry Forest","Aw, Am, Csb, Cwb, Cfb, Af, BSh",15.7835,-90.2308,63,69,759,High,High,High,Medium,High,High,High,High,High,High
Quran,Islam,,Saudi Arabia,Hejaz,Classical Arabic,Monotheistic,Thriving,609,Open,4,9.27,Mixed,Desert,"BWh, BSk, BWk, BSh",21.4241,39.8173,72,94,3937,Low,Medium,High,High,High,Low,Very Low,Low,Very Low,Very Low
Guru Granth Sahib,Sikhism,,India,"Punjab, India",Punjabi,Monotheistic,Thriving,1604,Open,15.19,5.28,Yes,"Desert, Tropical Dry Forest, Temperate Coniferous Forest, Alpine","Af, BSh, Csa, Cfb, BWh",31.1471,75.3412,52,90,980,Medium,NA,NA,High,High,High,NA,Low,Very Low,High
Tao Te Ching,Taoism,,China,Hubei,Classical Chinese,Polytheistic,Revived,-400,Open,47,9.2,Yes,"Temperate Deciduous Forest, Tropical Rain Forest","Cfa, Dfb, Dfa, Cfb",30.5454,114.3423,10,66,1191,Medium,NA,NA,Medium,High,High,NA,High,High,High
Zend Avesta,Zoroastrionism,,Iran,Fars province,Avestan,Monotheistic,Endangered,-800,NA,14,6.86,Mixed,"Temperate Deciduous Forest, Desert, Alpine","BWh, BSk, BSh, Csa, BWk, Dsa",29.1044,53.0459,43,87,4393,High,NA,NA,Medium,High,Medium,NA,High,Low,High
